name	harmonized_name
12343096 CANADA INC.	12343096 Canada inc.
3-DIMENSIONAL PHARMACEUTICALS, INC.	Johnson and Johnson
3M INNOVATIVE PROPERTIES CO	3M
4 SC AG	4SC
4SC AG	4SC
4SC DISCOVERY GMBH	4SC
7TM PHARMA AS	7TM Pharma
ABALOS THERAPEUTICS GMBH	Abalos Therapeutics
ABBOTT GMBH & CO KG	Abbot
ABBOTT HEALTHCARE PRODUCTS BV	Abbot
ABBOTT LAB	Abbot
ABBOTT LABORATORIES	Abbot
ABBOTT MOLECULAR INC	Abbot
ABBVIE B.V.	AbbVie
ABBVIE BAHAMAS LTD	AbbVie
ABBVIE DEUTSCHLAND	AbbVie
ABBVIE INC	AbbVie
ABBVIE INC.	AbbVie
ACADEMIA SINICA	China Central Research Academy
ACADEMIA SINICA TAIWAN	China Central Research Academy
ACADIA PHARM INC	Acadia Pharmaceuticals Inc.
ACCUTAR BIOTECHNOLOGY INC	Accutar Biotechnology Inc.
ACLARIS THERAPEUTICS INC	Aclaris Therapeutics
ACLIPSE ONE INC	Aclipse Therapeutics
ACORDA THERAPEUTICS INC	Acorda Therapeutics
ACRAF	Angelini Holding S.p.A.
ACTAR AB	Actar
ACTIVE BIOTECH AB	Active Biotech
ACTIVE PASS PHARMACEUTICALS IN	Active Pass Pharmaceuticals Inc.
ADAGENE INC	Adagene
ADAGIO THERAPEUTICS, INC.	Adagio Therapeutics
ADAMED SP ZOO	Adamed
ADDEX PHARMA SA	Addex Therapeutics
ADDEX PHARMACEUTICALS SA	Addex Therapeutics
ADEKA CORP	Adeka
ADIR	Adir
ADISSEO FRANCE SAS	Adisseo
ADVANCED MEDICINE INC	Advanced medicine Inc.
ADVANCED RES & TECH INST	Institute of Advanced Technology and Research and Development
AERIE PHARMACEUTICALS INC	Aerie Pharmaceuticals
AERPIO PHARMACEUTICALS INC	Aerpio Pharmaceuticals
AERPIO THERAPEUTICS INC	Aerpio Pharmaceuticals
AESTUS THERAPEUTICS INC	Aestus Therapeutics
AETAS PHARMA CO LTD	AETAS Pharma
AETERMA ZENTARIS GMBH	Aeterna Zentaris
AETERNA ZENTARIS GMBH	Aeterna Zentaris
AFRAXIS HOLDINGS INC	Afraxis
AFRAXIS INC	Afraxis
AGENCY SCIENCE TECH & RES	A*STAR
AGIOS PHARMACEUTICALS INC	Agios Pharmaceuticals
AGRONOMIQUE INST NAT RECH	INRAE
