chembl	schembl_id	name
CHEMBL565795	SCHEMBL1904704	rhodanine derivative, 38
CHEMBL567069	SCHEMBL4412367	CHEMBL567069
CHEMBL584481	SCHEMBL4410661	CHEMBL584481
CHEMBL565810	SCHEMBL8931565	CHEMBL565810
CHEMBL565371	SCHEMBL1904082	rhodanine derivative, 43
CHEMBL1608642	SCHEMBL11304705	MLS-0103602.0001
CHEMBL1371869	SCHEMBL3470511	MLS-0090801.0001
CHEMBL1460470	SCHEMBL14919618	MLS-0336143.0001
CHEMBL1393151	SCHEMBL14825113	586393-25-1
CHEMBL1350887	SCHEMBL2115985	SMR000076348
CHEMBL1271266	SCHEMBL590150	119-19-7
CHEMBL1724282	SCHEMBL3059597	4666-80-2
CHEMBL1329712	SCHEMBL2114941	MLS000109444
CHEMBL1421970	SCHEMBL10143922	MLS000683996
CHEMBL1433062	SCHEMBL13856424	(3aR,6aS)-3-(2-chlorophenyl)-5-(2,5-dimethoxyphenyl)-3a,6a-dihydropyrrolo[3,4-d]isoxazole-4,6-dione
CHEMBL1489399	SCHEMBL20063193	MLS000621546
CHEMBL414883	SCHEMBL868832	radicicol
CHEMBL97453	SCHEMBL601220	Wedelolactone
CHEMBL849	SCHEMBL3269	triclosan
CHEMBL117	SCHEMBL44474	chrysin
CHEMBL90605	SCHEMBL7689701	CHEMBL90605
CHEMBL329224	SCHEMBL7692663	CHEMBL329224
CHEMBL328541	SCHEMBL7682871	CHEMBL328541
CHEMBL329536	SCHEMBL7960877	UNII-Z5M5FX29YG
CHEMBL329786	SCHEMBL7686486	CHEMBL329786
CHEMBL433734	SCHEMBL7688920	CHEMBL433734
CHEMBL344096	SCHEMBL7690280	CHEMBL344096
CHEMBL344971	SCHEMBL7685664	CHEMBL344971
CHEMBL145396	SCHEMBL7686705	CHEMBL145396
CHEMBL421770	SCHEMBL7689860	CHEMBL421770
CHEMBL142720	SCHEMBL7689497	CHEMBL142720
CHEMBL442412	SCHEMBL7689255	CHEMBL442412
CHEMBL423383	SCHEMBL7687478	CHEMBL423383
CHEMBL344952	SCHEMBL7690355	CHEMBL344952
CHEMBL331937	SCHEMBL7963206	CHEMBL331937
CHEMBL331202	SCHEMBL7963164	CHEMBL331202
CHEMBL122841	SCHEMBL7959225	CHEMBL122841
CHEMBL123413	SCHEMBL7958627	CHEMBL123413
CHEMBL121799	SCHEMBL7959923	CHEMBL121799
CHEMBL340369	SCHEMBL7959094	CHEMBL340369
CHEMBL121636	SCHEMBL7963501	CHEMBL121636
CHEMBL124343	SCHEMBL7963329	CHEMBL124343
CHEMBL262904	SCHEMBL8354018	CHEMBL262904
CHEMBL157661	SCHEMBL7959195	CHEMBL157661
CHEMBL52643	SCHEMBL8986383	CHEMBL52643
CHEMBL51065	SCHEMBL8986375	CHEMBL51065
CHEMBL53497	SCHEMBL8986380	CHEMBL53497
CHEMBL53657	SCHEMBL8986385	CHEMBL53657
CHEMBL51611	SCHEMBL8986406	CHEMBL51611
CHEMBL301150	SCHEMBL8986394	CHEMBL301150
CHEMBL422942	SCHEMBL647569	181468-88-2
CHEMBL53016	SCHEMBL4701197	CHEMBL53016
CHEMBL299384	SCHEMBL8986355	CHEMBL299384
CHEMBL51048	SCHEMBL8986381	CHEMBL51048
CHEMBL332347	SCHEMBL650331	BIBP3226
CHEMBL60737	SCHEMBL8356894	CHEMBL60737
CHEMBL438914	SCHEMBL10085999	BVD 10
CHEMBL564536	SCHEMBL162002	J-115814
CHEMBL566020	SCHEMBL159369	CHEMBL566020
CHEMBL585711	SCHEMBL113377	CHEMBL585711
CHEMBL567112	SCHEMBL161992	CHEMBL567112
CHEMBL1081469	SCHEMBL14000703	CHEMBL1081469
CHEMBL1082083	SCHEMBL14001057	CHEMBL1082083
CHEMBL1081181	SCHEMBL14001060	CHEMBL1081181
CHEMBL1080100	SCHEMBL14001068	CHEMBL1080100
CHEMBL1080101	SCHEMBL14001070	CHEMBL1080101
CHEMBL1076268	SCHEMBL14000868	CHEMBL1076268
CHEMBL1081732	SCHEMBL14001140	CHEMBL1081732
CHEMBL1081733	SCHEMBL14001141	CHEMBL1081733
CHEMBL1080826	SCHEMBL14001136	CHEMBL1080826
CHEMBL1080827	SCHEMBL14001137	CHEMBL1080827
CHEMBL1076276	SCHEMBL14000943	CHEMBL1076276
CHEMBL1079927	SCHEMBL14000776	CHEMBL1079927
CHEMBL1080291	SCHEMBL14000756	CHEMBL1080291
CHEMBL1080292	SCHEMBL14000779	CHEMBL1080292
CHEMBL1080300	SCHEMBL14000762	CHEMBL1080300
CHEMBL1080301	SCHEMBL14000780	CHEMBL1080301
CHEMBL1080302	SCHEMBL14000778	CHEMBL1080302
CHEMBL1080660	SCHEMBL14000869	CHEMBL1080660
CHEMBL1081711	SCHEMBL14000755	CHEMBL1081711
CHEMBL1081712	SCHEMBL14000770	CHEMBL1081712
CHEMBL1081713	SCHEMBL14000771	CHEMBL1081713
CHEMBL1081890	SCHEMBL14001056	CHEMBL1081890
CHEMBL1080298	SCHEMBL14000754	CHEMBL1080298
CHEMBL1080655	SCHEMBL14001238	CHEMBL1080655
CHEMBL1771259	SCHEMBL7045687	CP-671906
CHEMBL1771266	SCHEMBL7044245	CHEMBL1771266
CHEMBL1771264	SCHEMBL7151739	CHEMBL1771264
CHEMBL1771261	SCHEMBL7044512	CHEMBL1771261
CHEMBL1771260	SCHEMBL7042465	CHEMBL1771260
CHEMBL1771258	SCHEMBL7044646	CHEMBL1771258
CHEMBL1771256	SCHEMBL5729215	CHEMBL1771256
CHEMBL1771255	SCHEMBL7044237	CHEMBL1771255
CHEMBL1774204	SCHEMBL6899864	BIBO-3304 free base
CHEMBL3559801	SCHEMBL10601507	1942-71-8
CHEMBL2311933	SCHEMBL15717081	1422955-31-4
CHEMBL2311932	SCHEMBL15740027	CHEMBL2311932
CHEMBL2311930	SCHEMBL15740004	CHEMBL2311930
CHEMBL2311967	SCHEMBL15740003	CHEMBL2311967
CHEMBL2311966	SCHEMBL15739998	CHEMBL2311966
CHEMBL2311965	SCHEMBL15740015	CHEMBL2311965
CHEMBL2311960	SCHEMBL15740048	CHEMBL2311960
CHEMBL2311959	SCHEMBL15740045	CHEMBL2311959
CHEMBL2311951	SCHEMBL15740089	CHEMBL2311951
CHEMBL2311947	SCHEMBL15740064	CHEMBL2311947
CHEMBL2311968	SCHEMBL15740036	HIF-2alpha-IN-3
CHEMBL4218848	SCHEMBL4320704	6-(methylamino)nicotinamide
CHEMBL4218043	SCHEMBL5317877	CHEMBL4218043
CHEMBL4217817	SCHEMBL2463000	CHEMBL4217817
CHEMBL3218641	SCHEMBL19503353	CHEMBL3218641
CHEMBL3577115	SCHEMBL4421312	CHEMBL3577115
CHEMBL3577124	SCHEMBL15241297	LY3009120
CHEMBL3577123	SCHEMBL15270125	CHEMBL3577123
CHEMBL3577121	SCHEMBL15289554	CHEMBL3577121
CHEMBL3577120	SCHEMBL15289703	CHEMBL3577120
CHEMBL3577119	SCHEMBL16667661	CHEMBL3577119
CHEMBL3577118	SCHEMBL15270494	CHEMBL3577118
CHEMBL3577117	SCHEMBL15289640	CHEMBL3577117
CHEMBL3958857	SCHEMBL16113018	CHEMBL3958857
CHEMBL3922435	SCHEMBL17539261	CHEMBL3922435
CHEMBL4465028	SCHEMBL19637110	CHEMBL4465028
CHEMBL4456598	SCHEMBL19637155	CHEMBL4456598
CHEMBL4214264	SCHEMBL16637284	ARS-1620
CHEMBL4515333	SCHEMBL20296482	CHEMBL4515333
CHEMBL4460809	SCHEMBL20296570	CHEMBL4460809
CHEMBL4517656	SCHEMBL20296493	CHEMBL4517656
CHEMBL4450657	SCHEMBL20296771	CHEMBL4450657
CHEMBL4549665	SCHEMBL21567367	CHEMBL4549665
CHEMBL4467413	SCHEMBL20560256	CHEMBL4467413
CHEMBL4452137	SCHEMBL20560398	CHEMBL4452137
CHEMBL4464232	SCHEMBL21542591	CHEMBL4464232
CHEMBL4467518	SCHEMBL21543736	CHEMBL4467518
CHEMBL4528930	SCHEMBL21543348	CHEMBL4528930
CHEMBL4573279	SCHEMBL20560384	CHEMBL4573279
CHEMBL4516179	SCHEMBL21543169	CHEMBL4516179
CHEMBL4458945	SCHEMBL21543641	CHEMBL4458945
CHEMBL4554946	SCHEMBL20315092	CHEMBL4554946
CHEMBL4588277	SCHEMBL21543255	CHEMBL4588277
CHEMBL4434842	SCHEMBL21567632	CHEMBL4434842
CHEMBL4456801	SCHEMBL20296425	CHEMBL4456801
CHEMBL4469638	SCHEMBL21542764	CHEMBL4469638
CHEMBL4465551	SCHEMBL21543035	CHEMBL4465551
CHEMBL4454645	SCHEMBL20296673	CHEMBL4454645
CHEMBL4438343	SCHEMBL21567453	CHEMBL4438343
CHEMBL4449810	SCHEMBL20296734	CHEMBL4449810
CHEMBL4439782	SCHEMBL20315090	CHEMBL4439782
CHEMBL4450519	SCHEMBL21543510	CHEMBL4450519
CHEMBL4591772	SCHEMBL21543810	CHEMBL4591772
CHEMBL4450041	SCHEMBL21543805	CHEMBL4450041
CHEMBL4539214	SCHEMBL21543638	CHEMBL4539214
CHEMBL4578214	SCHEMBL21543558	CHEMBL4578214
CHEMBL4527861	SCHEMBL21543623	CHEMBL4527861
CHEMBL4452622	SCHEMBL21543160	CHEMBL4452622
CHEMBL4535757	SCHEMBL20560375	AMG-510
CHEMBL4458041	SCHEMBL21543193	CHEMBL4458041
CHEMBL4441771	SCHEMBL21542583	CHEMBL4441771
CHEMBL4444447	SCHEMBL22035879	CHEMBL4444447
CHEMBL4520093	SCHEMBL22035867	CHEMBL4520093
CHEMBL4579956	SCHEMBL21980635	CHEMBL4579956
CHEMBL4457550	SCHEMBL22036148	CHEMBL4457550
CHEMBL4541628	SCHEMBL21980618	CHEMBL4541628
CHEMBL4573277	SCHEMBL22036134	CHEMBL4573277
CHEMBL4591653	SCHEMBL21980622	CHEMBL4591653
CHEMBL4464335	SCHEMBL21980626	K-Ras G12C-IN-4
CHEMBL4457820	SCHEMBL21243922	CHEMBL4457820
CHEMBL4473733	SCHEMBL21243951	CHEMBL4473733
CHEMBL4466335	SCHEMBL21243958	CHEMBL4466335
CHEMBL4572411	SCHEMBL21243865	CHEMBL4572411
CHEMBL4467039	SCHEMBL21243917	CHEMBL4467039
CHEMBL4475526	SCHEMBL21824648	CHEMBL4475526
CHEMBL4566835	SCHEMBL21824739	CHEMBL4566835
CHEMBL4443236	SCHEMBL21824621	CHEMBL4443236
CHEMBL4568148	SCHEMBL21824623	CHEMBL4568148
CHEMBL4452819	SCHEMBL21824714	CHEMBL4452819
CHEMBL4450793	SCHEMBL21824704	CHEMBL4450793
CHEMBL4455938	SCHEMBL21824629	CHEMBL4455938
CHEMBL4452974	SCHEMBL21050632	KRAS G12C inhibitor 14
CHEMBL4572730	SCHEMBL21050640	CHEMBL4572730
CHEMBL4567284	SCHEMBL21050662	KRAS G12C inhibitor 16
CHEMBL4591572	SCHEMBL21050635	CHEMBL4591572
CHEMBL4483782	SCHEMBL21050664	CHEMBL4483782
CHEMBL4454588	SCHEMBL21050656	CHEMBL4454588
CHEMBL4551121	SCHEMBL21050678	CHEMBL4551121
CHEMBL4455191	SCHEMBL21050951	CHEMBL4455191
CHEMBL4456368	SCHEMBL21050779	CHEMBL4456368
CHEMBL4560503	SCHEMBL21050650	CHEMBL4560503
CHEMBL4461913	SCHEMBL21050646	CHEMBL4461913
CHEMBL4536127	SCHEMBL16647050	CHEMBL4536127
CHEMBL4594350	SCHEMBL20974691	MRTX849
CHEMBL4293433	SCHEMBL15337917	K-Ras(G12C) inhibitor 12
CHEMBL4456044	SCHEMBL21207075	CHEMBL4456044
CHEMBL179501	SCHEMBL6069656	CHEMBL179501
CHEMBL196839	SCHEMBL6069129	CHEMBL196839
CHEMBL195319	SCHEMBL6069549	CHEMBL195319
CHEMBL426292	SCHEMBL6070074	CHEMBL426292
CHEMBL195914	SCHEMBL6069813	CHEMBL195914
CHEMBL364071	SCHEMBL6069532	CHEMBL364071
CHEMBL197054	SCHEMBL6070026	CHEMBL197054
CHEMBL214021	SCHEMBL2669492	7-fluorochromone-2-carboxamide
CHEMBL216554	SCHEMBL6331821	CHEMBL216554
CHEMBL216104	SCHEMBL6329427	CHEMBL216104
CHEMBL216180	SCHEMBL6336179	CHEMBL216180
CHEMBL274168	SCHEMBL6329400	CHEMBL274168
CHEMBL216524	SCHEMBL6330877	CHEMBL216524
CHEMBL217233	SCHEMBL6339450	CHEMBL217233
CHEMBL216482	SCHEMBL6333486	CHEMBL216482
CHEMBL266725	SCHEMBL6333500	CHEMBL266725
CHEMBL386281	SCHEMBL6333889	CHEMBL386281
CHEMBL214731	SCHEMBL6337941	MCHr1 antagonist 2
CHEMBL384111	SCHEMBL6333234	CHEMBL384111
CHEMBL384919	SCHEMBL6339389	CHEMBL384919
CHEMBL215661	SCHEMBL6337849	CHEMBL215661
CHEMBL376055	SCHEMBL15313749	CHEMBL376055
CHEMBL376408	SCHEMBL158942	ABT-737
CHEMBL448740	SCHEMBL1541222	CHEMBL448740
CHEMBL508864	SCHEMBL1541051	CHEMBL508864
CHEMBL1915438	SCHEMBL10136878	compound 14k [PMID: 21982499]
CHEMBL1915442	SCHEMBL10136946	CHEMBL1915442
CHEMBL1915445	SCHEMBL10137159	CHEMBL1915445
CHEMBL1915448	SCHEMBL10137290	CHEMBL1915448
CHEMBL1915449	SCHEMBL10137203	CHEMBL1915449
CHEMBL1915636	SCHEMBL10136934	CHEMBL1915636
CHEMBL1915641	SCHEMBL10137230	CHEMBL1915641
CHEMBL3800006	SCHEMBL17303150	CHEMBL3800006
CHEMBL3799689	SCHEMBL3270726	CHEMBL3799689
CHEMBL225072	SCHEMBL7968	Pemetrexed
CHEMBL58135	SCHEMBL1158162	2-Amino-5-((1-((carboxymethyl)amino)-3-(hexylthio)-1-oxopropan-2-yl)amino)-5-oxopentanoic acid
CHEMBL3310887	SCHEMBL422880	CHEMBL3310887
CHEMBL3686864	SCHEMBL15954939	CHEMBL3686864
CHEMBL3686883	SCHEMBL15955395	CHEMBL3686883
CHEMBL3686884	SCHEMBL15955142	E-7090
CHEMBL3734797	SCHEMBL17559936	CHEMBL3734797
CHEMBL3978200	SCHEMBL15781855	CHEMBL3978200
CHEMBL3958844	SCHEMBL15770960	CHEMBL3958844
CHEMBL3889804	SCHEMBL15770828	CHEMBL3889804
CHEMBL3911369	SCHEMBL15570431	CHEMBL3911369
CHEMBL3984596	SCHEMBL15771350	CHEMBL3984596
CHEMBL3902376	SCHEMBL15771690	CHEMBL3902376
CHEMBL3973382	SCHEMBL15570676	CHEMBL3973382
CHEMBL3896861	SCHEMBL15570003	CHEMBL3896861
CHEMBL3962403	SCHEMBL15770142	CHEMBL3962403
CHEMBL3985660	SCHEMBL15771555	CHEMBL3985660
CHEMBL3956991	SCHEMBL15781860	CHEMBL3956991
CHEMBL3972896	SCHEMBL15771024	CHEMBL3972896
CHEMBL3942512	SCHEMBL15770964	CHEMBL3942512
CHEMBL3930781	SCHEMBL15569986	CHEMBL3930781
CHEMBL3958264	SCHEMBL15570453	CHEMBL3958264
CHEMBL3921840	SCHEMBL15781859	CHEMBL3921840
CHEMBL3953031	SCHEMBL15770115	CHEMBL3953031
CHEMBL3952905	SCHEMBL15770250	CHEMBL3952905
CHEMBL3953976	SCHEMBL15771671	CHEMBL3953976
CHEMBL3965293	SCHEMBL15571525	CHEMBL3965293
CHEMBL3937280	SCHEMBL15570234	CHEMBL3937280
CHEMBL3925140	SCHEMBL15771392	CHEMBL3925140
CHEMBL3951956	SCHEMBL15771370	CHEMBL3951956
CHEMBL3964411	SCHEMBL15770095	CHEMBL3964411
CHEMBL3940577	SCHEMBL15770929	CHEMBL3940577
CHEMBL3913505	SCHEMBL15770126	CHEMBL3913505
CHEMBL3983323	SCHEMBL15770138	CHEMBL3983323
CHEMBL3922498	SCHEMBL15570650	CHEMBL3922498
CHEMBL3890916	SCHEMBL15771367	CHEMBL3890916
CHEMBL3919024	SCHEMBL15771375	CHEMBL3919024
CHEMBL3906126	SCHEMBL15570542	CHEMBL3906126
CHEMBL3890624	SCHEMBL15770141	CHEMBL3890624
CHEMBL3919898	SCHEMBL15570429	CHEMBL3919898
CHEMBL3897303	SCHEMBL15570141	CHEMBL3897303
CHEMBL3900691	SCHEMBL15771390	CHEMBL3900691
CHEMBL3969562	SCHEMBL15771072	CHEMBL3969562
CHEMBL3898359	SCHEMBL15770952	CHEMBL3898359
CHEMBL3973392	SCHEMBL15771662	CHEMBL3973392
CHEMBL603469	SCHEMBL1649693	Lestaurtinib
CHEMBL535	SCHEMBL8081	Sunitinib
CHEMBL1721885	SCHEMBL902507	452105-23-6
CHEMBL450786	SCHEMBL93654	PHA-665752
CHEMBL573339	SCHEMBL258242	PI-103
CHEMBL1230609	SCHEMBL371804	Foretinib
CHEMBL1287853	SCHEMBL263741	Fedratinib
CHEMBL300138	SCHEMBL678748	Enzastaurin
CHEMBL521851	SCHEMBL190812	957054-30-7
CHEMBL574738	SCHEMBL1684259	AST 487
CHEMBL494089	SCHEMBL310452	937174-76-0
CHEMBL388978	SCHEMBL8157	staurosporine
CHEMBL2003638	SCHEMBL4294025	Kinome_1067
CHEMBL1970821	SCHEMBL1044646	Kinome_328
CHEMBL1682554	SCHEMBL3632148	CHEMBL1682554
CHEMBL1980297	SCHEMBL3381224	ILORASERTIB
CHEMBL1964290	SCHEMBL1133482	Kinome_3726
CHEMBL213505	SCHEMBL3109029	CHEMBL213505
CHEMBL1987034	SCHEMBL20006842	Kinome_1198
CHEMBL1964288	SCHEMBL3665675	Kinome_1117
CHEMBL1986263	SCHEMBL2085015	Kinome_1318
CHEMBL1971172	SCHEMBL1045430	Kinome_127
CHEMBL2005718	SCHEMBL1046453	Kinome_132
CHEMBL2003286	SCHEMBL1248758	5-[(4-hydroxy-3-methoxyphenyl)methylidene]-1,3-thiazolidine-2,4-dione
CHEMBL1998585	SCHEMBL546436	1-[4-(4-Aminothieno[2,3-D]pyrimidin-5-Yl)phenyl]-3-[2-Fluoro-5-(Trifluoromethyl)phenyl]urea
CHEMBL184847	SCHEMBL1333150	CHEMBL184847
CHEMBL1985723	SCHEMBL1046787	Kinome_126
CHEMBL539474	SCHEMBL3078963	CHEMBL539474
CHEMBL1988387	SCHEMBL19996024	Kinome_452
CHEMBL1965702	SCHEMBL1044784	Kinome_150
CHEMBL1964340	SCHEMBL1044971	Kinome_337
CHEMBL1967662	SCHEMBL1048268	Kinome_348
CHEMBL2005828	SCHEMBL3117554	Kinome_518
CHEMBL1336	SCHEMBL8218	Sorafenib
CHEMBL1980178	SCHEMBL1043470	Kinome_227
CHEMBL1973098	SCHEMBL2199252	5-(4-Hydroxy-3-methoxybenzylidene)rhodanine
CHEMBL1981079	SCHEMBL1208545	Kinome_2520
CHEMBL513846	SCHEMBL1684637	Kinome_3524
CHEMBL1965660	SCHEMBL1133999	CHEMBL1965660
CHEMBL1972290	SCHEMBL1041172	Kinome_131
CHEMBL1964777	SCHEMBL7053671	Kinome_2696
CHEMBL1980995	SCHEMBL14264595	62996-74-1
CHEMBL1972339	SCHEMBL4298368	Kinome_1086
CHEMBL1990821	SCHEMBL4154389	Kinome_2978
CHEMBL411903	SCHEMBL1719115	CHEMBL411903
CHEMBL1980253	SCHEMBL1049814	Kinome_128
CHEMBL1965988	SCHEMBL3528875	Kinome_463
CHEMBL225519	SCHEMBL4767679	PHA-767491
CHEMBL1964692	SCHEMBL1703583	N-[4-(3-amino-1-methyl-1H-pyrazolo[3,4-c]pyridin-4-yl)phenyl]-N'-[3-(trifluoromethyl)phenyl]urea
CHEMBL1998470	SCHEMBL1046096	Kinome_308
CHEMBL1996980	SCHEMBL1081514	Kinome_239
CHEMBL1969920	SCHEMBL1044740	Kinome_253
CHEMBL482967	SCHEMBL2074998	693228-63-6
CHEMBL458997	SCHEMBL375524	761437-28-9
CHEMBL1974310	SCHEMBL7050653	Kinome_2519
CHEMBL1982660	SCHEMBL10008553	A 1070722
CHEMBL2002346	SCHEMBL8939619	Kinome_38
CHEMBL220241	SCHEMBL1838346	GSK269962A
CHEMBL1994438	SCHEMBL1044073	Kinome_258
CHEMBL1682553	SCHEMBL3633638	CHEMBL1682553
CHEMBL592030	SCHEMBL10214102	CHEMBL592030
CHEMBL1974250	SCHEMBL2456767	Kinome_1169
CHEMBL1979883	SCHEMBL3531600	CHEMBL1979883
CHEMBL1988331	SCHEMBL1046003	Kinome_304
CHEMBL1998432	SCHEMBL1049953	Kinome_125
