chembl	schembl_id	name
CHEMBL3137316	SCHEMBL1707427	Fosdagrocorat
CHEMBL3647441	SCHEMBL2605953	SCHEMBL2605953
CHEMBL3647446	SCHEMBL15727816	US8901310, Comparator H
CHEMBL3647440	SCHEMBL1708073	SCHEMBL1708073
CHEMBL3647448	SCHEMBL14959363	US8901310, Comparator J
CHEMBL3647447	SCHEMBL12272095	US8901310, Comparator I
CHEMBL3647443	SCHEMBL12272628	US8901310, Comparator E
CHEMBL131	SCHEMBL3233	prednisolone
CHEMBL3647442	SCHEMBL15727874	US8901310, Comparator D
CHEMBL3647444	SCHEMBL14959367	US8901310, Comparator F
CHEMBL273019	SCHEMBL893721	bergenin
CHEMBL1351908	SCHEMBL1102426	2-[4-(propan-2-yl)phenyl]-1,3-benzothiazole
CHEMBL1713298	SCHEMBL16085606	MLS-0412185.0001
CHEMBL369794	SCHEMBL41814	Muramyl Dipeptide
CHEMBL1779325	SCHEMBL41813	Muramyl Dipeptide
CHEMBL4514780	SCHEMBL14697655	RIP2 kinase inhibitor 1
CHEMBL116605	SCHEMBL6499405	CHEMBL116605
CHEMBL56032	SCHEMBL6504034	CHEMBL56032
CHEMBL56882	SCHEMBL6501813	CHEMBL56882
CHEMBL55243	SCHEMBL6495467	CHEMBL55243
CHEMBL291557	SCHEMBL6505145	CHEMBL291557
CHEMBL267048	SCHEMBL4322786	{[2-(1H-1,2,3-BENZOTRIAZOL-1-YL)-2-(3,4-DIFLUOROPHENYL)PROPANE-1,3-DIYL]BIS[4,1-PHENYLENE(DIFLUOROMETHYLENE)]}BIS(PHOSPHONIC ACID)
CHEMBL276647	SCHEMBL6944262	CHEMBL276647
CHEMBL267488	SCHEMBL7169142	CHEMBL267488
CHEMBL9339	SCHEMBL6946321	CHEMBL9339
CHEMBL266753	SCHEMBL7527019	CHEMBL266753
CHEMBL268903	SCHEMBL7161106	CHEMBL268903
CHEMBL9252	SCHEMBL7533384	CHEMBL9252
CHEMBL268526	SCHEMBL7526713	CHEMBL268526
CHEMBL269166	SCHEMBL7526510	CHEMBL269166
CHEMBL267759	SCHEMBL7163888	CHEMBL267759
CHEMBL139393	SCHEMBL4293286	2-(OXALYL-AMINO)-4,5,6,7-TETRAHYDRO-THIENO[2,3-C]PYRIDINE-3-CARBOXYLIC ACID
CHEMBL379196	SCHEMBL3909188	4-bromo-3-(carboxymethoxy)-5-[4-(dimethylamino)phenyl]thiophene-2-carboxylic acid
CHEMBL215335	SCHEMBL3903817	Monocyclic thiophene analog 36
CHEMBL214378	SCHEMBL3908592	CHEMBL214378
CHEMBL213758	SCHEMBL3907607	4-BROMO-3-(CARBOXYMETHOXY)-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID
CHEMBL243268	SCHEMBL3907266	CHEMBL243268
CHEMBL397415	SCHEMBL3915048	CHEMBL397415
CHEMBL243267	SCHEMBL3910443	CHEMBL243267
CHEMBL387614	SCHEMBL3906337	CHEMBL387614
CHEMBL395722	SCHEMBL3905967	CHEMBL395722
CHEMBL397903	SCHEMBL3907365	CHEMBL397903
CHEMBL230862	SCHEMBL3905542	CHEMBL230862
CHEMBL230860	SCHEMBL3907381	CHEMBL230860
CHEMBL230752	SCHEMBL3904902	CHEMBL230752
CHEMBL390245	SCHEMBL3908969	CHEMBL390245
CHEMBL230751	SCHEMBL3904554	CHEMBL230751
CHEMBL230645	SCHEMBL3905700	CHEMBL230645
CHEMBL390244	SCHEMBL3914763	CHEMBL390244
CHEMBL230643	SCHEMBL3904537	CHEMBL230643
CHEMBL541214	SCHEMBL3904696	864135-09-1
CHEMBL243942	SCHEMBL3909849	CHEMBL243942
CHEMBL89067	SCHEMBL12632425	CHEMBL89067
CHEMBL326115	SCHEMBL14586377	CHEMBL326115
CHEMBL248291	SCHEMBL5893966	IZD deriv. 2
CHEMBL590122	SCHEMBL6500760	CHEMBL590122
CHEMBL259628	SCHEMBL340568	PTP1B-IN-3
CHEMBL8758	SCHEMBL7161699	CHEMBL8758
CHEMBL206710	SCHEMBL3147610	CHEMBL206710
CHEMBL325029	SCHEMBL6500588	CHEMBL325029
CHEMBL3818765	SCHEMBL7523807	CHEMBL3818765
CHEMBL3817887	SCHEMBL7168672	SCHEMBL7168672
CHEMBL3969776	SCHEMBL19222783	CHEMBL3969776
CHEMBL429926	SCHEMBL611869	D-erythro-MAPP
CHEMBL3741624	SCHEMBL17260675	CHEMBL3741624
CHEMBL3741606	SCHEMBL17260740	CHEMBL3741606
CHEMBL3739503	SCHEMBL17260723	CHEMBL3739503
CHEMBL3740827	SCHEMBL17260676	ARN14974
CHEMBL3741996	SCHEMBL17260697	CHEMBL3741996
CHEMBL3740071	SCHEMBL17260771	CHEMBL3740071
CHEMBL3740027	SCHEMBL17260663	CHEMBL3740027
CHEMBL3740687	SCHEMBL17260689	CHEMBL3740687
CHEMBL3741732	SCHEMBL17260727	CHEMBL3741732
CHEMBL3742201	SCHEMBL17260666	CHEMBL3742201
CHEMBL3740949	SCHEMBL17260716	CHEMBL3740949
CHEMBL3741313	SCHEMBL17260708	CHEMBL3741313
CHEMBL3739921	SCHEMBL17260709	CHEMBL3739921
CHEMBL3740148	SCHEMBL17260721	CHEMBL3740148
CHEMBL3740254	SCHEMBL17260681	CHEMBL3740254
CHEMBL3742230	SCHEMBL17260703	CHEMBL3742230
CHEMBL3740470	SCHEMBL17260674	CHEMBL3740470
CHEMBL3740884	SCHEMBL17260728	CHEMBL3740884
CHEMBL3739598	SCHEMBL17260719	CHEMBL3739598
CHEMBL3741885	SCHEMBL17260713	CHEMBL3741885
CHEMBL3742292	SCHEMBL17260690	CHEMBL3742292
CHEMBL3740970	SCHEMBL17260730	CHEMBL3740970
CHEMBL3740891	SCHEMBL17260702	CHEMBL3740891
CHEMBL3741093	SCHEMBL17260696	CHEMBL3741093
CHEMBL3742353	SCHEMBL17260694	CHEMBL3742353
CHEMBL3741977	SCHEMBL17260693	CHEMBL3741977
CHEMBL3741632	SCHEMBL17260688	CHEMBL3741632
CHEMBL3741541	SCHEMBL17260673	CHEMBL3741541
CHEMBL3740594	SCHEMBL17260790	CHEMBL3740594
CHEMBL3741168	SCHEMBL17260742	CHEMBL3741168
CHEMBL3739956	SCHEMBL17260704	CHEMBL3739956
CHEMBL3739472	SCHEMBL17260680	CHEMBL3739472
CHEMBL3741565	SCHEMBL17260685	CHEMBL3741565
CHEMBL3741153	SCHEMBL17260701	CHEMBL3741153
CHEMBL3741563	SCHEMBL19026497	CHEMBL3741563
CHEMBL3741712	SCHEMBL19026443	CHEMBL3741712
CHEMBL3770896	SCHEMBL17556802	CHEMBL3770896
CHEMBL2333042	SCHEMBL15537511	CHEMBL2333042
CHEMBL2333040	SCHEMBL15539412	CHEMBL2333040
CHEMBL3957935	SCHEMBL15538371	CHEMBL3957935
CHEMBL3900210	SCHEMBL15537516	CHEMBL3900210
CHEMBL4071239	SCHEMBL12593863	CHEMBL4071239
CHEMBL4092051	SCHEMBL426726	SCHEMBL426726
CHEMBL460499	SCHEMBL8037	carmofur
CHEMBL314772	SCHEMBL4378188	Deoxyfuconojirimycin
CHEMBL326611	SCHEMBL4323472	4-{2-[(3-NITROBENZOYL)AMINO]PHENOXY}PHTHALIC ACID
CHEMBL428690	SCHEMBL3652	Flavopiridol
CHEMBL99889	SCHEMBL7234251	CP-320626
CHEMBL337012	SCHEMBL4801096	CHEMBL337012
CHEMBL139461	SCHEMBL4803861	CHEMBL139461
CHEMBL136327	SCHEMBL4801410	CHEMBL136327
CHEMBL139472	SCHEMBL4803919	CHEMBL139472
CHEMBL134854	SCHEMBL4796608	CHEMBL134854
CHEMBL136182	SCHEMBL4798292	CHEMBL136182
CHEMBL425918	SCHEMBL6371759	CHEMBL425918
CHEMBL371986	SCHEMBL6372041	CHEMBL371986
CHEMBL194177	SCHEMBL5545532	CHEMBL194177
CHEMBL196001	SCHEMBL5547081	CHEMBL196001
CHEMBL194245	SCHEMBL5549668	CHEMBL194245
CHEMBL194356	SCHEMBL5547056	CHEMBL194356
