chembl	surechembl	patent_id	date	ipc	assignee	organization_name	acquired_by	person	genes
CHEMBL3137316	SCHEMBL1707427	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3137316	SCHEMBL1707427	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3137316	SCHEMBL1707427	EP-2114970-B1	2011-08-03	C07F 9/58	PFIZER PROD INC	Pfizer			IL6, NR3C1
CHEMBL3137316	SCHEMBL1707427	EP-2114888-B1	2010-11-10	C07D 213/75	PFIZER PROD INC	Pfizer			IL6, NR3C1
CHEMBL3137316	SCHEMBL1707427	WO-2008093236-A1	2008-08-07	C07D 213/75	PFIZER PROD INC	Pfizer			IL6, NR3C1
CHEMBL3137316	SCHEMBL1707427	WO-2008093227-A1	2008-08-07	C07F 9/58	PFIZER PROD INC	Pfizer			IL6, NR3C1
CHEMBL3647441	SCHEMBL2605953	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647441	SCHEMBL2605953	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647446	SCHEMBL15727816	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647446	SCHEMBL15727816	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647440	SCHEMBL1708073	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647440	SCHEMBL1708073	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647448	SCHEMBL14959363	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647447	SCHEMBL12272095	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647447	SCHEMBL12272095	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647443	SCHEMBL12272628	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647443	SCHEMBL12272628	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647442	SCHEMBL15727874	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647442	SCHEMBL15727874	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647444	SCHEMBL14959367	US-20140316139-A1	2014-10-23	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL3647444	SCHEMBL14959367	US-20140142316-A1	2014-05-22	C07D 213/89	PFIZER	Pfizer			IL6, NR3C1
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20200157126-A1	2020-05-21	C07F 9/09	ACORDA THERAPEUTICS INC	Acorda Therapeutics			IL6
CHEMBL273019	SCHEMBL893721	EP-3235826-B1	2020-02-05	C07J 17/00	FU LI			True	IL6
CHEMBL273019	SCHEMBL893721	EP-3491028-A1	2019-06-05	C08F 2/32	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-20190127546-A1	2019-05-02	C08J 9/28	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
CHEMBL273019	SCHEMBL893721	US-10851218-B2	2020-12-01	C08J 9/00	TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation			IL6
