symbol,uniprot
FZD9,O00144
NXF5,Q9H1B4
MAML2,Q8IZL2
POLR3H,Q9Y535
RPS11,P62280
GALR1,P47211
AQP7,O14520
GDF15,Q99988
JUP,P14923
UBQLN3,Q9H347
AOC3,Q16853
TNFRSF10B,O14763
GBGT1,Q8N5D6
CAPN14,A8MX76
KAT6A,Q92794
STX8,Q9UNK0
EBI3,Q14213
BCL2L2-PABPN1,Q92843
ELAVL1,Q15717
SCLY,Q96I15
SLC17A6,Q9P2U8
S1PR2,O95136
USP14,P54578
PTGER4,P35408
KIR2DL4,Q99706
SLC11A1,P49279
H3-4,Q16695
H4C6,P62805
U2SURP,O15042
NCAM2,O15394
LMO7,Q8WWI1
PRKAR1A,P10644
GRK2,P25098
GNG5,P63218
ATP5MF,P56134
B2M,P61769
NUP42,O15504
IL36B,Q9NZH7
RPL26L1,Q9UNX3
COX5B,P10606
POLD4,Q9HCU8
OR2L3,Q8NG85
RHOBTB1,O94844
REL,Q04864
NPAS4,Q8IUM7
PDE11A,Q9HCR9
TGFBR3,Q03167
POLR2I,P36954
MAPK14,Q16539
CAPZB,P47756
ZNF749,O43361
SOS1,Q07889
ZNF286B,P0CG31
PRDX6,P30041
PCGF1,Q9BSM1
RAB4A,P20338
IL10RB,Q08334
FLOT2,Q14254
GZMA,P12544
PML,P29590
PIGS,Q96S52
ENO1,P06733
HACD1,B0YJ81
CD55,P08174
GMPPB,Q9Y5P6
AGTR2,P50052
SPCS3,P61009
KAT8,Q9H7Z6
PDHB,P11177
NEFH,P12036
F11,P03951
PRSS1,P07477
GNB1,P62873
COX17,Q14061
MDM4,O15151
NT5C,Q8TCD5
CCL19,Q99731
MANBA,O00462
F2R,P25116
CKMT1A,P12532
GRIN1,Q05586
OR5D18,Q8NGL1
CTU1,Q7Z7A3
BCHE,P06276
RFC5,P40937
OR2G3,Q8NGZ4
MIR342,
PPP1CA,P62136
PAICS,P22234
CNGB3,Q9NQW8
PER3,P56645
TRADD,Q15628
IST1,P53990
SIPA1L1,O43166
ZNF793,Q6ZN11
LAPTM5,Q13571
ZNF426,Q9BUY5
BIRC6,Q9NR09
IL1B,P01584
CCNG1,P51959
MCM3,P25205
SPDYE16,A6NNV3
FNTB,P49356
CYP2R1,Q6VVX0
CALCA,P01258
HYAL4,Q2M3T9
IL7,P13232
SIRT2,Q8IXJ6
FCSK,Q8N0W3
GRP,P07492
CACNA2D2,Q9NY47
SEC11C,Q9BY50
COL4A2,P08572
GBA3,Q9H227
IFNGR1,P15260
TAF15,Q92804
SLIT2,O94813
OSM,P13725
GUSB,P08236
SART1,O43290
DAAM2,Q86T65
HES6,Q96HZ4
PDE3B,Q13370
PADI2,Q9Y2J8
ST6GALNAC1,Q9NSC7
PLA2G1B,P04054
TRNT1,Q96Q11
SLC25A29,Q8N8R3
CYSLTR1,Q9Y271
NT5E,P21589
CCL7,P80098
EXOC2,Q96KP1
