db_id	disease_name	gene_symbol	pmid
166024	Multiple epiphyseal dysplasia, Al-Gazali type	KIF7	22587682[PMID]
93	Aspartylglucosaminuria	AGA	11309371[PMID]
166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	CWC27	28285769[PMID]
585	Multiple sulfatase deficiency	SUMF1	17657823[PMID]
118	Beta-mannosidosis	MANBA	18980795[PMID]
166063	Pontocerebellar hypoplasia type 4	TSEN54	
166078	Von Willebrand disease type 1	VWF	20301765[PMID]
206	NON RARE IN EUROPE: Crohn disease	IL6	16150725[PMID]_16150725[PMID]_21771795[PMID]
206	NON RARE IN EUROPE: Crohn disease	IL23R	17804789[PMID]
206	NON RARE IN EUROPE: Crohn disease	NOD2	
206	NON RARE IN EUROPE: Crohn disease	NCF4	21900546[PMID]_22158027[PMID]
206	NON RARE IN EUROPE: Crohn disease	ATG16L1	
206	NON RARE IN EUROPE: Crohn disease	IRF5	22257839[PMID]
206	NON RARE IN EUROPE: Crohn disease	IRGM	21049557[PMID]
206	NON RARE IN EUROPE: Crohn disease	PTPN2	22457781[PMID]
166073	Pontocerebellar hypoplasia type 6	RARS2	
166084	Von Willebrand disease type 2A	VWF	20301765[PMID]
333	Farber disease	ASAH1	24355074[PMID]
349	Fucosidosis	FUCA1	10094192[PMID]
166090	Von Willebrand disease type 2M	VWF	20301765[PMID]
166087	Von Willebrand disease type 2B	VWF	20301765[PMID]
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	AGL	10571954[PMID]_17908927[PMID]
166093	Von Willebrand disease type 2N	VWF	20301765[PMID]
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	PYGM	
166096	Von Willebrand disease type 3	VWF	20301765[PMID]
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia	COL2A1	16189708[PMID]_21438135[PMID]
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia	COL11A2	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	PFKM	
166105	FASTKD2-related infantile mitochondrial encephalomyopathy	FASTKD2	18771761[PMID]
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	PYGL	
447	Paroxysmal nocturnal hemoglobinuria	PIGA	22305531[PMID]
166108	Intellectual disability, Birk-Barel type	KCNK9	18678320[PMID]
166119	Isolated osteopoikilosis	LEMD3	26694706[PMID]
166260	Dentinogenesis imperfecta type 2	DSPP	
166265	Dentinogenesis imperfecta type 3	DSPP	
166272	Odontochondrodysplasia	TRIP11	30728324[PMID]
576	Mucolipidosis type II	GNPTAB	18425436[PMID]
812	Sialidosis type 1	NEU1	14517945[PMID]
166282	Familial sick sinus syndrome	SCN5A	
166282	Familial sick sinus syndrome	HCN4	
166282	Familial sick sinus syndrome	MYH6	
578	Mucolipidosis type IV	MCOLN1	21763169[PMID]_21224396[PMID]
166286	Porokeratotic eccrine ostial and dermal duct nevus	GJB2	22592158[PMID]_25692760[PMID]_26215685[PMID]
771	NON RARE IN EUROPE: Ulcerative colitis	IL23R	22984500[PMID]
771	NON RARE IN EUROPE: Ulcerative colitis	NOD2	
771	NON RARE IN EUROPE: Ulcerative colitis	IRF5	22257839[PMID]
771	NON RARE IN EUROPE: Ulcerative colitis	PTPN2	22457781[PMID]
771	NON RARE IN EUROPE: Ulcerative colitis	ABCB1	16434479[PMID]
461	Recessive X-linked ichthyosis	STS	10583107[PMID]_10692123[PMID]
856	NON RARE IN EUROPE: Tourette syndrome	SLITRK1	22410579[PMID]_20301778[PMID]_16224024[PMID]_18698576[PMID]
856	NON RARE IN EUROPE: Tourette syndrome	IMMP2L	22410579[PMID]_24549057[PMID]
856	NON RARE IN EUROPE: Tourette syndrome	HDC	20445167[PMID]_23825391[PMID]_24411733[PMID]
584	Mucopolysaccharidosis type 7	GUSB	19224584[PMID]
825	NON RARE IN EUROPE: Ankylosing spondylitis	HLA-B	
166412	Hot water reflex epilepsy	SLC1A1	28324217[PMID]
95	Friedreich ataxia	FXN	21776984[PMID]
586	Cystic fibrosis	SERPINA1	19738092[PMID]
586	Cystic fibrosis	SLC26A9	28756021[PMID]
586	Cystic fibrosis	SLC6A14	28756021[PMID]
586	Cystic fibrosis	SLC9A3	28756021[PMID]
586	Cystic fibrosis	CEACAM3	20047061[PMID]
586	Cystic fibrosis	CEACAM6	20047061[PMID]
586	Cystic fibrosis	EDNRA	20028935[PMID]
586	Cystic fibrosis	GSTM3	28289476[PMID]
586	Cystic fibrosis	HMOX1	28289476[PMID]
586	Cystic fibrosis	GCLC	16690975[PMID]
586	Cystic fibrosis	HFE	30291871[PMID]
586	Cystic fibrosis	CFTR	22214395[PMID]
586	Cystic fibrosis	TGFB1	18424453[PMID]
586	Cystic fibrosis	DCTN4	22772370[PMID]
586	Cystic fibrosis	CLCA4	23073314[PMID]
586	Cystic fibrosis	STX1A	23572023[PMID]
586	Cystic fibrosis	KCNN4	29915289[PMID]
586	Cystic fibrosis	MIF	16179637[PMID]
586	Cystic fibrosis	SLC11A1	28756021[PMID]
550	MELAS	MT-TQ	
550	MELAS	MT-CO1	22832341[PMID]_19568996[PMID]
550	MELAS	MT-CO2	18245391[PMID]
550	MELAS	MT-CO3	18587274[PMID]
550	MELAS	MT-ND1	15657614[PMID]
550	MELAS	MT-ND4	
550	MELAS	MT-ND5	18587274[PMID]_20301411[PMID]
550	MELAS	MT-ND6	11781695[PMID]
550	MELAS	MT-TL1	20301411[PMID]
550	MELAS	MT-TW	23696415[PMID]
550	MELAS	MT-TH	14967777[PMID]_15111688[PMID]
550	MELAS	MT-TS1	17894844[PMID]
550	MELAS	MT-TS2	16950817[PMID]
550	MELAS	MT-TF	9771776[PMID]
269	Facioscapulohumeral dystrophy	DNMT3B	27153398[PMID]
269	Facioscapulohumeral dystrophy	DUX4	
269	Facioscapulohumeral dystrophy	DUX4L1	
269	Facioscapulohumeral dystrophy	FRG1	23300487[PMID]_23525014[PMID]_23720823[PMID]
269	Facioscapulohumeral dystrophy	SMCHD1	23143600[PMID]_24128691[PMID]
269	Facioscapulohumeral dystrophy	SMCHD1	24075187[PMID]
480	Kearns-Sayre syndrome	MT-ATP8	
480	Kearns-Sayre syndrome	RRM2B	21378381[PMID]
480	Kearns-Sayre syndrome	MT-TL1	
163908	Limbic encephalitis with LGI1 antibodies	HLA-DRB1	28026029_28026046[PMID]
163908	Limbic encephalitis with LGI1 antibodies	HLA-DQB1	28026029_28026046[PMID]
551	MERRF	MT-TP	19273760[PMID]_27816331[PMID]
551	MERRF	MT-ND5	
551	MERRF	MT-TL1	8254046[PMID]
551	MERRF	MT-TK	20301693[PMID]
551	MERRF	MT-RNR1	
551	MERRF	MT-TQ	23179085[PMID]
551	MERRF	MT-TH	14967777[PMID]
551	MERRF	MT-TS1	7669057[PMID]
551	MERRF	MT-TS2	16950817[PMID]
551	MERRF	MT-TF	15184630[PMID]
597	Central core disease	RYR1	20301565[PMID]
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	SOX10	22963253[PMID]_24311220[PMID]
684	Paramyotonia congenita of Von Eulenburg	SCN4A	10369308[PMID]
163931	Acrodermatitis continua of Hallopeau	IL36RN	23303454[PMID]
163931	Acrodermatitis continua of Hallopeau	AP1S3	24791904[PMID]
163927	Pustulosis palmaris et plantaris	IL36RN	23303454[PMID]
163927	Pustulosis palmaris et plantaris	AP1S3	24791904[PMID]
163937	X-linked intellectual disability, Najm type	CASK	
614	Thomsen and Becker disease	CLCN1	20301529[PMID]
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	HDAC6	20181727[PMID]
163976	X-linked intellectual disability, Van Esch type	POLA1	31006512[PMID]
163956	X-linked intellectual disability, Nascimento type	UBE2A	16909393[PMID]
324	Fabry disease	GLA	20301469[PMID]
163985	Hyperekplexia-epilepsy syndrome	ARHGEF9	20301437[PMID]
778	Rett syndrome	MECP2	20301670[PMID]
307	Juvenile myoclonic epilepsy	CILK1	29539279[PMID]
307	Juvenile myoclonic epilepsy	CACNB4	23756480[PMID]
307	Juvenile myoclonic epilepsy	EFHC1	23756480[PMID]
307	Juvenile myoclonic epilepsy	GABRA1	23756480[PMID]
307	Juvenile myoclonic epilepsy	GABRD	23756480[PMID]
307	Juvenile myoclonic epilepsy	KCNQ3	12928862[PMID]
307	Juvenile myoclonic epilepsy	JRK	11463517[PMID]
307	Juvenile myoclonic epilepsy	CLCN2	12612585[PMID]_19191339[PMID]_23756480[PMID]
1941	Juvenile absence epilepsy	EFHC1	17159113[PMID]
892	Von Hippel-Lindau disease	VHL	
731	Autosomal recessive polycystic kidney disease	DZIP1L	28530676[PMID]
731	Autosomal recessive polycystic kidney disease	PKHD1	20301501[PMID]
164736	Familial advanced sleep-phase syndrome	PER3	26903630[PMID]
164736	Familial advanced sleep-phase syndrome	CSNK1D	15800623[PMID]
164736	Familial advanced sleep-phase syndrome	PER2	11232563[PMID]
138	CHARGE syndrome	SEMA3E	15235037[PMID]
138	CHARGE syndrome	CHD7	20301296[PMID]
165805	Familial mesial temporal lobe epilepsy with febrile seizures	CPA6	21922598[PMID]
803	Amyotrophic lateral sclerosis	CCNF	27080313[PMID]
803	Amyotrophic lateral sclerosis	TAF15	21438137[PMID]
803	Amyotrophic lateral sclerosis	EPHA4	22922411[PMID]
803	Amyotrophic lateral sclerosis	ANXA11	28469040[PMID]
803	Amyotrophic lateral sclerosis	CFAP410	27455348_26974433[PMID]
803	Amyotrophic lateral sclerosis	GLE1	25343993[PMID]
803	Amyotrophic lateral sclerosis	NEK1	26945885[PMID]
