Year	Count	gene
2021	2	DAO
2020	7	DAO
2019	2	DAO
2018	2	DAO
2017	5	DAO
2016	4	DAO
2015	1	DAO
2014	3	DAO
2013	7	DAO
2012	5	DAO
2011	6	DAO
2010	10	DAO
2009	11	DAO
2008	6	DAO
2007	11	DAO
2006	6	DAO
2005	3	DAO
2004	3	DAO
2002	3	DAO
2001	2	DAO
2021	7	PYGL
2020	13	PYGL
2019	4	PYGL
2018	6	PYGL
2017	5	PYGL
2016	4	PYGL
2015	7	PYGL
2014	3	PYGL
2013	2	PYGL
2012	6	PYGL
2011	3	PYGL
2010	2	PYGL
2009	2	PYGL
2008	1	PYGL
2007	2	PYGL
2006	2	PYGL
2005	2	PYGL
2004	2	PYGL
2003	1	PYGL
2002	2	PYGL
2000	3	PYGL
2021	23	INSR
2020	10	INSR
2019	20	INSR
2018	26	INSR
2017	29	INSR
2016	29	INSR
2015	31	INSR
2014	21	INSR
2013	26	INSR
2012	27	INSR
2011	35	INSR
2010	34	INSR
2009	41	INSR
2008	26	INSR
2007	31	INSR
2006	17	INSR
2005	26	INSR
2004	25	INSR
2003	25	INSR
2002	30	INSR
2001	20	INSR
2000	20	INSR
2021	15	BACE1
2020	24	BACE1
2019	14	BACE1
2018	24	BACE1
2017	17	BACE1
2016	20	BACE1
2015	26	BACE1
2014	24	BACE1
2013	27	BACE1
2012	45	BACE1
2011	30	BACE1
2010	22	BACE1
2009	25	BACE1
2008	29	BACE1
2007	17	BACE1
2006	15	BACE1
2005	21	BACE1
2004	29	BACE1
2003	18	BACE1
2002	18	BACE1
2001	10	BACE1
2000	7	BACE1
2021	203	VCP
2020	155	VCP
2019	134	VCP
2018	136	VCP
2017	133	VCP
2016	130	VCP
2015	118	VCP
2014	112	VCP
2013	118	VCP
2012	116	VCP
2011	97	VCP
2010	66	VCP
2009	58	VCP
2008	79	VCP
2007	90	VCP
2006	82	VCP
2005	69	VCP
2004	54	VCP
2003	57	VCP
2002	38	VCP
2001	29	VCP
2000	16	VCP
2021	36	RET
2020	40	RET
2019	34	RET
2018	27	RET
2017	49	RET
2016	47	RET
2015	45	RET
2014	66	RET
2013	50	RET
2012	45	RET
2011	50	RET
2010	65	RET
2009	62	RET
2008	60	RET
2007	41	RET
2006	42	RET
2005	42	RET
2004	32	RET
2003	28	RET
2002	36	RET
2001	17	RET
2000	16	RET
2021	3	SLC5A1
2020	3	SLC5A1
2019	4	SLC5A1
2018	4	SLC5A1
2017	7	SLC5A1
2016	6	SLC5A1
2015	7	SLC5A1
2014	2	SLC5A1
2013	9	SLC5A1
2012	6	SLC5A1
2011	12	SLC5A1
2010	11	SLC5A1
2009	3	SLC5A1
2008	6	SLC5A1
2007	7	SLC5A1
2006	9	SLC5A1
2005	7	SLC5A1
2004	7	SLC5A1
2003	3	SLC5A1
2002	5	SLC5A1
2001	1	SLC5A1
2000	2	SLC5A1
2021	27	ADAM17
2020	24	ADAM17
2019	22	ADAM17
2018	26	ADAM17
2017	28	ADAM17
2016	26	ADAM17
2015	35	ADAM17
2014	48	ADAM17
2013	49	ADAM17
2012	34	ADAM17
2011	28	ADAM17
2010	33	ADAM17
2009	34	ADAM17
2008	30	ADAM17
2007	15	ADAM17
2006	16	ADAM17
2005	13	ADAM17
2004	11	ADAM17
2003	18	ADAM17
2002	13	ADAM17
2001	1	ADAM17
2000	3	ADAM17
